NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Infectonator: Survivors,-90%,"R$ 3,29",65.17%,Aug 2016,2024-05-20 14:00:00,2024-05-13 14:21:28
Tumblestone,-81%,"R$ 8,73",73.53%,Jul 2016,2024-05-20 14:00:00,2024-05-13 14:21:28
DreadOut,-80%,"R$ 5,59",74.49%,May 2014,2024-05-24 14:00:00,2024-05-14 11:05:02
Quest of Dungeons,-70%,"R$ 5,09",72.11%,Mar 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
Melody's Escape,-75%,"R$ 8,24",89.73%,May 2016,2024-05-20 14:00:00,2024-05-13 14:21:28
American Truck Simulator,-75%,"R$ 15,49",95.51%,Feb 2016,2024-05-30 14:00:00,2024-05-16 14:01:26
Grand Theft Auto V,-65%,"R$ 38,63",86.33%,Apr 2015,1969-12-31 21:00:00,2024-05-13 14:21:28
Over 9000 Zombies!,-72%,"R$ 1,95",82.54%,Feb 2015,2024-05-20 14:00:00,2024-05-13 14:21:28
Hotline Miami 2: Wrong Number,-85%,"R$ 7,04",92.32%,Mar 2015,2024-05-23 14:00:00,2024-05-16 14:01:26
Broforce,-80%,"R$ 9,39",95.27%,Oct 2015,2024-05-23 14:00:00,2024-05-16 14:01:26
RONIN,-80%,"R$ 8,39",67.77%,Jun 2015,2024-05-23 14:00:00,2024-05-16 14:01:26
OlliOlli,-80%,"R$ 8,39",74.83%,Jul 2014,2024-05-23 14:00:00,2024-05-16 14:01:26
NOT A HERO,-80%,"R$ 11,99",83.06%,Jul 2016,2024-05-23 14:00:00,2024-05-16 14:01:26
Gods Will Be Watching,-80%,"R$ 6,59",68.93%,Jul 2014,2024-05-23 14:00:00,2024-05-09 14:01:28
Dropsy,-90%,"R$ 3,29",88.99%,Sep 2015,2024-05-23 14:00:00,2024-05-16 14:01:26
Brigador: Up-Armored Edition,-64%,"R$ 16,55",90.57%,Jun 2016,2024-05-20 14:00:00,2024-05-13 14:21:28
Z,-87%,"R$ 1,81",72.40%,Jul 2014,2024-05-20 14:00:00,2024-05-07 14:01:24
Assassin's Creed Freedom Cry,-60%,"R$ 17,99",73.98%,Feb 2014,2024-05-26 14:00:00,2024-05-19 14:01:23
A Story About My Uncle,-80%,"R$ 9,39",89.82%,May 2014,2024-05-28 14:00:00,2024-05-14 08:20:02
Stellaris,-70%,"R$ 43,19",86.77%,May 2016,2024-05-20 14:00:00,2024-05-07 14:01:25
100% Orange Juice,-100%,"R$ 0,00",90.45%,Sep 2013,2024-05-22 14:00:00,2024-05-16 14:01:27
House of the Dying Sun,-70%,"R$ 11,09",85.88%,Nov 2016,2024-05-20 14:00:00,2024-05-13 14:21:29
Hard Truck Apocalypse / Ex Machina,-75%,"R$ 6,62",80.93%,Dec 2005,2024-05-20 14:00:00,2024-05-13 14:21:29
Braveland,-90%,"R$ 3,29",79.00%,Mar 2014,2024-05-20 14:00:00,2024-05-13 14:21:29
Oknytt,-83%,"R$ 1,78",85.66%,Jul 2013,2024-05-20 14:00:00,2024-05-13 14:21:29
ENDLESS™ Legend,-100%,"R$ 0,00",82.27%,Sep 2014,2024-05-23 14:00:00,2024-05-16 14:01:27
Faces of War,-85%,"R$ 2,54",83.42%,Sep 2006,2024-05-22 14:00:00,2024-05-15 14:01:26
Collapse,-75%,"R$ 14,99",69.91%,Sep 2008,2024-05-20 14:00:00,2024-05-13 14:21:29
